[Frame 000078] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000079] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000080] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000081] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000082] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000083] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000084] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000085] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000086] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000087] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000088] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000089] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000090] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000091] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000092] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
[Frame 000093] Color SHA256: A1112D4F 4F4680E9 9134B924 C753D473 FCFBBBF1 2B56B6F5 F4DC9E44 194C4D14  Depth SHA256-32: 352DE351 [CONSISTENT]
